iter	Passed	Remaining
235	653	2116
236	656	2112
237	658	2108
238	661	2105
239	663	2102
240	667	2100
241	669	2098
242	672	2094
243	674	2091
244	677	2088
245	680	2086
246	683	2083
247	685	2079
248	688	2075
249	690	2071
250	692	2067
251	695	2063
252	697	2060
253	700	2057
254	703	2054
255	705	2050
256	707	2046
257	710	2042
258	713	2039
259	715	2036
260	717	2032
261	720	2029
262	722	2025
263	724	2020
264	727	2017
265	729	2013
266	731	2009
267	734	2005
268	736	2001
269	738	1997
270	741	1994
271	743	1991
272	746	1988
273	749	1984
274	751	1981
275	754	1977
276	756	1974
277	758	1971
278	761	1968
279	764	1964
280	766	1961
281	769	1958
282	771	1954
283	773	1951
284	776	1948
285	779	1945
286	781	1942
287	784	1939
288	786	1935
289	789	1932
290	791	1929
291	794	1927
292	797	1923
293	799	1920
294	802	1916
295	804	1913
296	806	1910
297	809	1907
298	812	1905
299	815	1901
300	817	1899
301	820	1896
302	822	1892
303	825	1890
304	829	1889
305	831	1886
306	834	1884
307	837	1881
308	840	1878
309	843	1876
310	845	1874
311	848	1870
312	850	1867
313	853	1864
314	856	1861
315	858	1859
316	861	1855
317	863	1852
318	866	1849
319	869	1847
320	871	1844
321	874	1841
322	877	1838
323	879	1835
324	882	1832
325	884	1829
326	887	1826
327	890	1823
328	892	1820
329	895	1817
330	897	1814
331	900	1812
332	903	1809
333	906	1806
334	908	1804
335	911	1801
336	913	1797
337	916	1794
338	918	1791
339	921	1788
340	923	1785
341	926	1782
342	928	1779
343	931	1776
344	933	1773
345	936	1770
346	939	1767
347	941	1764
348	944	1760
349	946	1757
350	948	1754
351	951	1751
352	953	1748
353	956	1745
354	958	1742
355	961	1738
356	963	1735
357	965	1731
358	968	1728
359	970	1725
360	973	1722
361	975	1719
362	977	1715
363	980	1712
364	982	1709
365	985	1707
366	987	1704
367	990	1700
368	992	1697
369	994	1694
370	997	1691
371	1000	1688
372	1002	1685
373	1004	1681
374	1007	1678
375	1009	1675
376	1012	1672
377	1014	1669
378	1017	1667
379	1020	1665
380	1022	1661
381	1025	1658
382	1027	1655
383	1030	1652
384	1032	1649
385	1036	1648
386	1038	1645
387	1041	1643
388	1044	1640
389	1046	1637
390	1049	1634
391	1052	1632
392	1055	1629
393	1057	1626
394	1060	1623
395	1062	1620
396	1065	1618
397	1067	1615
398	1070	1612
399	1072	1609
400	1075	1606
401	1077	1603
402	1080	1600
403	1082	1597
404	1085	1594
405	1087	1591
406	1090	1588
407	1092	1585
408	1095	1582
409	1097	1580
410	1100	1576
411	1102	1573
412	1105	1570
413	1107	1567
414	1110	1564
415	1112	1562
416	1115	1559
417	1117	1556
418	1120	1553
419	1122	1550
420	1125	1547
421	1127	1544
422	1130	1541
423	1132	1538
424	1135	1535
425	1137	1532
426	1140	1529
427	1142	1526
428	1145	1524
429	1147	1521
430	1149	1518
431	1152	1515
432	1154	1512
433	1157	1509
434	1160	1506
435	1162	1504
436	1165	1501
437	1167	1498
438	1170	1495
439	1172	1492
440	1175	1489
441	1177	1486
442	1180	1483
443	1182	1480
444	1184	1477
445	1187	1474
446	1189	1471
447	1192	1469
448	1194	1466
449	1197	1463
450	1199	1460
451	1201	1457
452	1204	1454
453	1206	1451
454	1209	1448
455	1211	1445
456	1214	1442
457	1216	1439
458	1218	1436
459	1221	1433
460	1224	1431
461	1226	1428
462	1229	1425
463	1231	1422
464	1234	1419
465	1236	1416
466	1238	1413
467	1241	1411
468	1244	1409
469	1247	1406
470	1250	1404
471	1252	1401
472	1255	1398
473	1257	1395
474	1260	1393
475	1263	1390
476	1265	1387
477	1268	1384
478	1270	1381
479	1273	1379
480	1275	1376
481	1278	1373
482	1280	1370
483	1282	1367
484	1285	1364
485	1287	1361
486	1290	1359
487	1292	1356
488	1295	1353
489	1297	1350
490	1300	1347
491	1302	1344
492	1305	1342
493	1308	1340
494	1310	1337
495	1313	1334
496	1315	1331
497	1318	1328
498	1320	1326
499	1323	1323
500	1326	1320
501	1328	1318
502	1331	1315
503	1333	1312
504	1336	1310
505	1339	1307
506	1341	1304
507	1343	1301
508	1346	1298
509	1348	1295
510	1351	1293
511	1353	1290
512	1356	1287
513	1358	1284
514	1361	1281
515	1363	1279
516	1366	1276
517	1369	1273
518	1371	1271
519	1374	1268
520	1376	1265
521	1378	1262
522	1381	1259
523	1384	1257
524	1386	1254
525	1389	1252
526	1391	1249
527	1394	1246
528	1396	1243
529	1399	1241
530	1402	1238
531	1404	1235
532	1407	1232
533	1409	1229
534	1411	1227
535	1414	1224
536	1417	1222
537	1420	1219
538	1422	1216
539	1424	1213
540	1427	1210
541	1430	1208
542	1433	1206
543	1436	1204
544	1438	1201
545	1441	1198
546	1444	1196
547	1446	1193
548	1450	1191
549	1453	1188
550	1458	1188
551	1462	1186
552	1465	1184
553	1468	1182
554	1471	1179
555	1473	1176
556	1476	1174
557	1478	1171
558	1482	1169
559	1484	1166
560	1487	1163
561	1489	1161
562	1492	1158
563	1495	1155
564	1497	1153
565	1499	1150
566	1502	1147
567	1504	1144
568	1507	1141
569	1509	1138
570	1512	1136
571	1514	1133
572	1517	1130
573	1519	1127
574	1522	1125
575	1524	1122
576	1527	1119
577	1529	1116
578	1532	1114
579	1535	1111
580	1537	1108
581	1539	1105
582	1542	1103
583	1544	1100
584	1547	1097
585	1549	1094
586	1552	1092
587	1554	1089
588	1557	1086
589	1560	1084
590	1562	1081
591	1565	1078
592	1567	1075
593	1569	1072
594	1572	1070
595	1574	1067
596	1577	1064
597	1579	1062
598	1582	1059
599	1584	1056
600	1587	1053
601	1589	1050
602	1592	1048
603	1594	1045
604	1597	1042
605	1599	1039
606	1601	1037
607	1604	1034
608	1606	1031
609	1609	1029
610	1612	1026
611	1614	1023
612	1616	1020
613	1619	1017
614	1621	1015
615	1624	1012
616	1627	1010
617	1629	1007
618	1632	1004
619	1634	1001
620	1637	999
621	1639	996
622	1642	994
623	1645	991
624	1648	989
625	1651	986
626	1653	983
627	1656	981
628	1659	978
629	1662	976
630	1664	973
631	1666	970
632	1669	967
633	1672	965
634	1674	962
635	1677	959
636	1679	957
637	1682	954
638	1684	951
639	1686	948
640	1689	946
641	1691	943
642	1694	940
643	1697	938
644	1699	935
645	1702	932
646	1705	930
647	1707	927
648	1709	924
649	1712	922
650	1714	919
651	1717	916
652	1720	914
653	1722	911
654	1725	908
655	1727	905
656	1730	903
657	1732	900
658	1735	897
659	1738	895
660	1740	892
661	1743	890
662	1745	887
663	1748	884
664	1751	882
665	1753	879
666	1756	876
667	1758	873
668	1760	871
669	1763	868
670	1765	865
671	1768	863
672	1770	860
673	1773	857
674	1775	854
675	1777	852
676	1780	849
677	1782	846
678	1785	844
679	1787	841
680	1790	838
681	1792	835
682	1795	833
683	1797	830
684	1800	827
685	1802	825
686	1805	822
687	1807	819
688	1810	817
689	1812	814
690	1815	811
691	1817	809
692	1820	806
693	1822	803
694	1824	800
695	1827	798
696	1829	795
697	1833	793
698	1836	790
699	1838	787
700	1840	785
701	1843	782
702	1845	779
703	1848	777
704	1851	774
705	1854	772
706	1857	769
707	1859	767
708	1862	764
709	1864	761
710	1867	759
711	1870	756
712	1872	753
713	1875	751
714	1877	748
715	1880	745
716	1882	743
717	1885	740
718	1887	737
719	1889	734
720	1892	732
721	1894	729
722	1897	726
723	1900	724
724	1902	721
725	1904	718
726	1907	716
727	1909	713
728	1912	710
729	1914	708
730	1917	705
731	1919	702
732	1921	700
733	1924	697
734	1926	694
735	1929	692
736	1931	689
737	1934	686
738	1936	683
739	1939	681
740	1941	678
741	1944	676
742	1947	673
743	1949	670
744	1952	668
745	1954	665
746	1956	662
747	1959	660
748	1961	657
749	1964	654
750	1966	652
751	1969	649
752	1971	646
753	1973	644
754	1976	641
755	1979	638
756	1981	636
757	1983	633
758	1986	630
759	1988	628
760	1991	625
761	1994	622
762	1996	620
763	1998	617
764	2001	614
765	2003	612
766	2006	609
767	2008	606
768	2011	604
769	2013	601
770	2016	598
771	2018	596
772	2021	593
773	2024	591
774	2026	588
775	2029	585
776	2031	583
777	2034	580
778	2036	577
779	2039	575
780	2043	572
781	2046	570
782	2049	567
783	2051	565
784	2054	562
785	2057	560
786	2060	557
787	2063	555
788	2065	552
789	2068	549
790	2071	547
791	2074	544
792	2076	542
793	2079	539
794	2082	536
795	2084	534
796	2087	531
797	2090	529
798	2093	526
799	2095	523
800	2098	521
801	2101	518
802	2103	516
803	2106	513
804	2109	510
805	2111	508
806	2114	505
807	2116	503
808	2119	500
809	2122	497
810	2125	495
811	2128	492
812	2130	490
813	2133	487
814	2136	485
815	2139	482
816	2141	479
817	2144	477
818	2147	474
819	2150	472
820	2153	469
821	2156	466
822	2159	464
823	2161	461
824	2164	459
825	2167	456
826	2170	453
827	2172	451
828	2175	448
829	2178	446
830	2180	443
831	2183	440
832	2186	438
833	2189	435
834	2192	433
835	2194	430
836	2197	427
837	2200	425
838	2203	422
839	2206	420
840	2208	417
841	2211	415
842	2214	412
843	2218	410
844	2221	407
845	2224	404
846	2227	402
847	2230	399
848	2233	397
849	2237	394
850	2240	392
851	2242	389
852	2245	387
853	2248	384
854	2252	381
855	2254	379
856	2257	376
857	2260	374
858	2263	371
859	2265	368
860	2268	366
861	2271	363
862	2274	361
863	2276	358
864	2280	355
865	2283	353
866	2285	350
867	2288	348
868	2291	345
869	2294	342
870	2297	340
871	2300	337
872	2303	335
873	2306	332
874	2309	329
875	2312	327
876	2315	324
877	2318	322
878	2321	319
879	2324	316
880	2327	314
881	2330	311
882	2333	309
883	2336	306
884	2339	303
885	2342	301
886	2345	298
887	2348	296
888	2351	293
889	2353	290
890	2356	288
891	2359	285
892	2363	283
893	2365	280
894	2368	277
895	2371	275
896	2374	272
897	2377	270
898	2380	267
899	2383	264
900	2386	262
901	2389	259
902	2392	257
903	2395	254
904	2398	251
905	2401	249
906	2404	246
907	2407	243
908	2410	241
909	2413	238
910	2416	236
911	2419	233
912	2423	230
913	2426	228
914	2435	226
915	2438	223
916	2442	221
917	2445	218
918	2448	215
919	2451	213
920	2454	210
921	2457	207
922	2460	205
923	2463	202
924	2466	199
925	2469	197
926	2473	194
927	2476	192
928	2479	189
929	2482	186
930	2485	184
931	2488	181
932	2491	178
933	2494	176
934	2497	173
935	2500	170
936	2504	168
937	2506	165
938	2509	163
939	2512	160
940	2515	157
941	2519	155
942	2522	152
943	2525	149
944	2528	147
945	2531	144
946	2534	141
947	2537	139
948	2540	136
949	2543	133
950	2546	131
951	2549	128
952	2552	125
953	2555	123
954	2558	120
955	2561	117
956	2564	115
957	2567	112
958	2570	109
959	2573	107
960	2576	104
961	2579	101
962	2583	99
963	2586	96
964	2589	93
965	2592	91
966	2595	88
967	2598	85
968	2601	83
969	2604	80
970	2607	77
971	2610	75
972	2613	72
973	2617	69
974	2620	67
975	2623	64
976	2626	61
977	2629	59
978	2633	56
979	2637	53
980	2640	51
981	2643	48
982	2646	45
983	2649	43
984	2653	40
985	2656	37
986	2659	35
987	2662	32
988	2665	29
989	2668	26
990	2671	24
991	2674	21
992	2678	18
993	2681	16
994	2684	13
995	2687	10
996	2690	8
997	2693	5
998	2696	2
999	2699	0
